序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
66,高雄市,左營區,左營,2017/06/27,"小時風速值 WS_HR (m/sec)",1.6,1.2,0.7,0.7,0.8,0.9,0.6,1.2,1.8,2.2,3,3.3,3.8,4.3,4.6,5,4.2,4,3.4,2,1.3,1.3,1.3,1.1
67,高雄市,左營區,左營,2017/06/27,"小時風向值 WD_HR (degrees)",282,301,305,313,283,22,3.8,314,292,291,295,293,294,297,296,301,299,301,307,310,318,319,314,332
68,高雄市,左營區,左營,2017/06/27,"二氧化硫 SO2 (ppb)",2.3,2.1,2.3,2.3,3,2.9,2.9,3.1,3.2,2.5,2.3,2.5,2.8,3.1,2.6,3,,1.9,2.2,1.5,2,2.4,2.5,2.2
69,高雄市,左營區,左營,2017/06/25,"氮氧化物 NOx (ppb)",5.4,4.8,4.8,5.4,16,24,13,8.4,6.9,5.3,4.2,4.3,3.5,2.9,3.5,4.8,4.5,4.5,5.7,7.1,5.9,6.6,7.1,5
70,高雄市,左營區,左營,2017/06/25,"風向 WIND_DIREC (degrees)",306,276,318,347,44,41,47,15,299,279,333,283,300,271,288,251,274,283,272,256,258,265,244,261
71,高雄市,左營區,左營,2017/06/25,"臭氧 O3 (ppb)",16,16,15,14,6,2.5,13,22,23,27,22,23,24,24,22,22,23,19,17,16,18,17,16,17
72,高雄市,左營區,左營,2017/06/25,"細懸浮微粒 PM 2.5  (μg/m 3 )",1,1,1,1,1,3,11,6,4,1,1,1,2,5,1,1,3,5,4,1,2,1,5,6
73,高雄市,左營區,左營,2017/06/25,"非甲烷碳氫化合物 NMHC (ppm)",0.04,0.03,0.03,0.03,0.17,0.57,0.12,0.05,0.04,0.05,0.24,0.14,0.19,0.12,0.46,0.61,0.37,0.32,0.23,0.28,0.29,0.28,0.29,0.26
74,高雄市,左營區,左營,2017/06/25,"一氧化碳 CO (ppm)",0.08,0.07,0.07,0.06,0.15,0.27,0.18,0.14,0.11,0.11,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.12,0.15,0.11,0.13,0.14,0.1
75,高雄市,左營區,左營,2017/06/25,"一氧化氮 NO (ppb)",0.3,0.4,0.2,0.3,1.7,7,2.8,1.8,1.8,1,0.8,0.9,0.8,0.6,0.7,0.9,0.9,0.6,0.6,0.6,0.5,0.5,0.7,0.4
76,高雄市,左營區,左營,2017/06/25,"二氧化氮 NO2 (ppb)",5.1,4.4,4.5,5.1,14,17,10,6.6,5.1,4.3,3.4,3.5,2.7,2.3,2.8,3.8,3.6,3.9,5.1,6.4,5.4,6.1,6.4,4.6
77,高雄市,左營區,左營,2017/06/25,"相對濕度 RH (percent)",75,77,80,80,80,81,78,74,70,69,68,69,69,67,65,68,68,69,71,74,74,74,76,75
